window_start,down_up_byte_ratio,downlink_throughput_bps,psz_mean_down,psz_std_down,psz_p90_down,iat_mean_down,iat_cov_down,burst_cnt,burst_bytes_avg,up_tiny_pkt_rate,label
1755336324,471373,1256994.667,998.6716102,503.2455682,1292,0.005313166,6.189958779,21,22268.42857,0,0
1755336327,409356,1091616,1005.788698,497.3552852,1292,0.006978912,5.417086075,15,27245,0,0
1755336330,371672,991125.3333,1083.591837,440.1211364,1292,0.00869122,9.043552905,12,30920.83333,0,0
1755336333,104409,278424,855.8114754,565.5317146,1292,0.024355258,4.668460273,6,17255.83333,0,0
1755336336,598965,1597240,1023.871795,488.4898854,1292,0.004720356,4.978422392,28,21342.92857,0,0
1755336339,508489,1355970.667,1077.307203,450.3390965,1292,0.006117093,7.718808132,14,36255.85714,0,0
1755336342,873915,2330440,1045.352871,470.7741473,1292,0.003150244,4.902597758,30,29072.03333,0,0
1755336345,658901,1757069.333,1031.143975,479.9769471,1292,0.004601751,5.232347378,28,23430.53571,0,0
1755336348,352874,940997.3333,1037.864706,471.7740791,1292,0.008748775,5.886864142,13,27090.46154,0,0
1755336351,109306,291482.6667,993.6909091,515.2707981,1292,0.022159423,8.621814592,4,27250.75,0,0
1755336354,217991,581309.3333,1013.911628,485.5892384,1292,0.013473527,7.251625462,10,21763.8,0,0
1755336357,687892,1834378.667,981.3009986,509.1626752,1292,0.004229457,4.550725706,37,18485.97297,0,0
1755336360,387026,1032069.333,1015.816273,491.8322302,1292,0.007335232,6.962997836,17,22622.05882,0,0
1755336363,329062,877498.6667,970.6843658,525.4637879,1292,0.006177514,6.148697932,14,23336.85714,0,0
1755336366,366504,977344,1026.621849,483.0091252,1292,0.007700115,5.288877891,16,22837.125,0,0
1755336369,559438,1491834.667,1034.081331,475.7948626,1292,0.002283889,6.140221303,14,39914.42857,0,0
1755336372,246422,657125.3333,1022.497925,489.6927661,1292,0.010327633,5.576318233,9,26811.77778,0,0
1755336375,485346,1294256,1037.064103,479.6726895,1292,0.006202824,8.253527676,13,37306.30769,0,0
1755336378,176789,471437.3333,945.3957219,533.154976,1292,0.011773603,6.452254256,10,17650.5,0,0
1755336381,196136,523029.3333,1032.294737,489.4036838,1292,0.010654862,6.880082361,7,27981.28571,0,0
1755336384,261957,698552,1039.511905,469.9197456,1292,0.011833677,6.397861323,12,21799.66667,0,0
1755336387,298814,796837.3333,1009.506757,490.4870097,1292,0.00989798,6.297729548,14,21230.42857,0,0
1755336390,73018,194714.6667,1140.90625,396.6800395,1292,0.001655299,4.981258966,1,72875,0,0
1755336396,522535,1393426.667,991.5275142,506.0047201,1292,0.005190027,5.349254199,26,20045.07692,0,0
1755336399,296554,790810.6667,1012.129693,490.1207871,1292,0.010005928,6.523131563,14,21141.5,0,0
1755336402,355355,947613.3333,1051.346154,467.4068667,1292,0.007713282,7.461708463,19,18652.78947,0,0
1755336405,180259,480690.6667,905.8241206,540.1729987,1292,0.014685055,7.023587813,12,14957.58333,0,0
1755336408,377268,1006048,992.8105263,501.2538971,1292,0.007598121,6.440409191,12,31352.58333,0,0
1755336411,1532386,4086362.667,1067.864808,454.962278,1292,0.001886776,7.12528687,31,49369.90323,0,0
1755336414,198,528,66,0,66,0.501937985,0.989876883,1,132,0,0
1755336417,20562,54832,734.3571429,582.8584865,1292,0.097121557,3.884953844,3,6769.666667,0,0
1755336420,6322,16858.66667,486.3076923,553.8100736,1292,0.071683665,1.721929281,1,5978,0,0
1755336423,386684,1031157.333,981.4314721,511.1521142,1292,0.007515819,10.82527524,9,42916.77778,0,0
1755336426,755714,2015237.333,985.285528,505.9570436,1292,0.002555137,4.646316253,32,23586.59375,0,0
