window_start,down_up_byte_ratio,downlink_throughput_bps,psz_mean_down,psz_std_down,psz_p90_down,iat_mean_down,iat_cov_down,burst_cnt,burst_bytes_avg,up_tiny_pkt_rate
1755335995.343465,58812.0,156832.0,735.15,603.7605713360223,1292.0,0.0345076941236665,4.567983777614527,10,5861.3,0.0
1755335998.343465,21389.0,57037.333333333336,388.8909090909091,508.0709210596945,1292.0,0.04300755483132822,2.6760256496716615,10,1970.5,0.0
1755336001.343465,9.37037037037037,1349.3333333333333,63.25,4.763139720814412,66.0,0.285773720060076,0.9475873691584364,2,126.5,0.3333333333333333
1755336007.343465,66.0,176.0,66.0,0.0,66.0,0.0,0.0,0,0.0,0.0
1755336010.343465,2722.0,7258.666666666667,143.26315789473685,283.9408467130662,205.0,0.12952077388763428,1.6070852731107867,3,736.6666666666666,0.0
1755336013.343465,2083.0,5554.666666666667,189.36363636363637,364.03378282972903,205.0,0.2019063949584961,1.5554320939583357,2,909.5,0.0
1755336016.343465,198.0,528.0,66.0,0.0,66.0,0.507328987121582,0.9737528972335062,0,0.0,0.0
1755336019.343465,294.0,784.0,58.8,5.878775382679627,66.0,0.5570489764213562,1.079640709500594,1,108.0,0.0
1755336022.343465,174.0,464.0,58.0,5.656854249492381,63.6,0.5404394865036011,0.08549774072550449,0,0.0,0.0
1755336025.343465,2211.0,5896.0,116.36842105263158,109.95032875004861,344.2,0.07847510443793403,1.5725629715083465,3,639.0,0.0
1755336028.343465,17142.0,45712.0,451.10526315789474,530.7678047921502,1292.0,0.03975881112588418,2.660403666478279,6,2349.8333333333335,0.0
1755336031.343465,191594.0,510917.3333333333,656.1438356164383,587.4727098263949,1292.0,0.010046897475252446,3.028243238476355,39,4815.461538461538,0.0
1755336034.343465,268200.0,715200.0,667.1641791044776,588.2443419881253,1292.0,0.006877947923845781,3.702831945589783,36,7438.944444444444,0.0
1755336037.343465,12666.0,33776.0,550.695652173913,594.3909879051292,1292.0,0.13004773313348944,4.06971583075929,5,2494.2,0.0
