window_start,down_up_byte_ratio,downlink_throughput_bps,psz_mean_down,psz_std_down,psz_p90_down,iat_mean_down,iat_cov_down,burst_cnt,burst_bytes_avg,up_tiny_pkt_rate
1755334939.841803,18451.0,49202.666666666664,439.3095238095238,535.3450817705938,1292.0,0.06944775581359863,2.276582466178249,5,3524.2,0.0
1755334942.841803,9756.0,26016.0,165.35593220338984,266.460272277308,429.0000000000004,0.046989691668543325,1.4027379088470258,11,742.3636363636364,0.0
1755334945.841803,5177.0,13805.333333333334,132.74358974358975,268.6265845855322,85.0000000000001,0.07378697395324707,1.6620029376215806,5,710.4,0.0
1755334948.841803,1259187.0,3357832.0,1015.4733870967742,503.8609136056252,1292.0,0.0023896351661097147,8.882609631177921,13,96798.07692307692,0.0
1755334951.841803,1046318.0,2790181.3333333335,1039.0446871896722,489.24354493975693,1292.0,0.002553373634459721,7.038851780880117,21,49655.0,0.0
1755334954.841803,2970.0,7920.0,198.0,281.3076607559773,667.7999999999997,0.1589905023574829,2.9315031782358654,3,899.3333333333334,0.0
1755334957.841803,5534.0,14757.333333333334,197.64285714285714,313.7408182248656,582.0000000000002,0.052247594904016564,1.4419311021963364,6,636.3333333333334,0.0
1755334960.841803,51.907407407407405,7474.666666666667,121.8695652173913,248.08436579515623,74.2,0.12093468145890669,1.2005715591328998,8,293.125,0.3333333333333333
1755334963.841803,249247.0,664658.6666666666,817.2032786885246,578.646185382832,1292.0,0.009264789913830004,6.095145353657651,17,14606.64705882353,0.0
1755334966.841803,946464.0,2523904.0,1027.6482084690554,498.80662800175804,1292.0,0.002905553320179815,8.319303328076506,17,55482.17647058824,0.0
1755334969.841803,1923.0,5128.0,213.66666666666666,379.0332732389364,349.0000000000002,0.02527838945388794,2.264113771334344,2,961.5,0.0
1755334972.841803,605.0,1613.3333333333333,60.5,5.5,66.0,0.22173378202650282,0.972679054316919,1,121.0,0.0
1755334975.841803,121.0,322.6666666666667,60.5,5.5,64.9,0.3138129711151123,0.0,0,0.0,0.0
1755334978.841803,6665.0,17773.333333333332,266.6,370.5676726321388,847.4000000000002,0.08916595578193665,1.7200562100454082,6,652.6666666666666,0.0
1755334981.841803,1244516.0,3318709.3333333335,870.290909090909,571.1542582355245,1292.0,0.001959566139023649,9.061412006610272,35,35491.74285714285,0.0
1755334984.841803,1898812.0,5063498.666666667,1046.1774104683195,484.30357193886493,1292.0,0.0012092552216602397,14.027636186759917,23,82430.13043478261,0.0
1755334987.841803,29450.0,78533.33333333333,640.2173913043479,600.4481266029737,1292.0,0.024843708674112955,3.7768203114883514,5,5878.0,0.0
1755334990.841803,24701.0,65869.33333333333,588.1190476190476,589.9227230417538,1292.0,0.041403165677698646,3.3172213579671626,6,4059.1666666666665,0.0
1755334993.841803,2154.0,5744.0,153.85714285714286,104.77380884747946,336.20000000000005,0.011540522942176232,1.0537211222328777,4,411.0,0.0
1755334996.841803,3541.0,9442.666666666666,295.0833333333333,384.85894782663195,827.2000000000002,0.07853453809564764,1.8797721361988686,3,1088.0,0.0
1755335002.841803,282147.0,752392.0,717.9312977099237,592.1662202710677,1292.0,0.00616897429738726,12.34155183563367,16,17571.125,0.0
1755335005.841803,1024938.0,2733168.0,1097.3640256959316,442.0183247231661,1292.0,0.003148589742400894,11.967597451082732,14,73160.5,0.0
1755335008.841803,39461.0,105229.33333333333,433.6373626373626,521.8487742818008,1292.0,0.03149815400441488,3.4943327569970224,12,3147.0833333333335,0.0
1755335011.841803,1572256.0,4192682.6666666665,1009.7983301220296,507.21126969956947,1292.0,0.0013384426773973479,9.94306871593509,21,74807.19047619047,0.0
1755335014.841803,8060.0,21493.333333333332,141.40350877192984,272.4729414957339,149.79999999999993,0.049871287175587246,1.4446554838193277,8,642.25,0.0
1755335017.841803,5118.0,13648.0,182.78571428571428,285.29725815402446,543.0,0.10721429189046223,1.6043809794981148,5,850.2,0.0
1755335020.841803,23116.0,61642.666666666664,304.1578947368421,471.51209876288266,1307.5,0.037900174458821614,3.028363081722888,11,2044.8181818181818,0.0
1755335023.841803,4112.0,10965.333333333334,186.9090909090909,356.31534923319475,196.40000000000018,0.1302498976389567,1.8378245886986118,5,761.2,0.0
1755335026.841803,467277.0,1246072.0,863.728280961183,571.0182154047557,1292.0,0.004054388735029432,5.5418587545363245,20,23245.9,0.0
1755335029.841803,2130.0,5680.0,152.14285714285714,190.06422115502252,297.0,0.11698137796842135,1.7659537470094253,3,422.3333333333333,0.0
1755335032.841803,3574.0,9530.666666666666,210.23529411764707,361.6902362376117,519.6000000000004,0.12501756846904755,1.9570977303161639,4,860.5,0.0
1755335038.841803,66.0,176.0,66.0,0.0,66.0,0.0,0.0,0,0.0,0.0
1755335041.841803,1592733.0,4247288.0,1031.562823834197,491.82776898353484,1292.0,0.0014988322267266581,9.605092183507503,22,72363.31818181818,0.0
1755335044.841803,270716.0,721909.3333333334,1037.2260536398467,486.779721016059,1292.0,0.009381108100597675,13.51522351574019,8,33669.75,0.0
1755335047.841803,1952.0,5205.333333333333,216.88888888888889,378.09947087577785,359.4000000000002,0.014494985342025757,1.830439751118584,3,650.6666666666666,0.0
1755335050.841803,500397.0,1334392.0,845.2652027027027,572.8871277018235,1292.0,0.0016102113094426653,4.891446914591557,17,29403.823529411766,0.0
1755335053.841803,1669848.0,4452928.0,1136.724302246426,403.9056307754282,1292.0,0.0008336770112248143,16.037398549795533,9,185225.11111111112,0.0
1755335056.841803,11906.0,31749.333333333332,626.6315789473684,489.92901854584653,1288.8,0.09104316764407688,2.8706909238626306,5,1941.6,0.0
1755335059.841803,920676.0,2455136.0,1034.467415730337,490.5876475712585,1292.0,0.0013792643530966863,6.983857158471987,12,76591.33333333333,0.0
1755335062.841803,7767.0,20712.0,287.6666666666667,444.60694251589604,1287.8,0.07802223242246188,1.8994865101988723,9,746.1111111111111,0.0
1755335065.841803,242.0,645.3333333333334,60.5,5.5,66.0,0.7276477018992106,0.9514610677335898,0,0.0,0.0
1755335068.841803,3728.0,9941.333333333334,233.0,384.0773034169033,697.0,0.019618733723958334,1.3760829046651126,4,575.75,0.0
1755335071.841803,4915.0,13106.666666666666,204.79166666666666,308.2769289625086,610.9999999999999,0.11990974260413129,2.1916854898186395,7,536.5714285714286,0.0
1755335077.841803,38253.0,102008.0,637.55,576.0913823633655,1292.0,0.002850370892023636,2.671074015610038,5,7597.6,0.0
1755335080.841803,1684928.0,4493141.333333333,1059.037083595223,474.5855797857571,1292.0,0.001288471131954553,10.754719889656071,18,93600.44444444444,0.0
1755335083.841803,1467.0,3912.0,183.375,272.91937339624684,357.9999999999999,0.022987706320626394,1.8331114256869432,2,696.0,0.0
1755335086.841803,208628.0,556341.3333333334,654.0062695924765,582.7530596121637,1292.0,0.001749565766292548,3.643543976821371,12,17239.583333333332,0.0
1755335089.841803,1739794.0,4639450.666666667,1083.983800623053,454.8852757210309,1292.0,0.0014614812156506013,16.987732352266654,13,133699.07692307694,0.0
1755335092.841803,6975.0,18600.0,317.04545454545456,454.75322751343316,1250.000000000001,0.09186666352408272,2.4056485503870126,5,918.6,0.0
1755335095.841803,887425.0,2366466.6666666665,1006.1507936507936,505.21034767892917,1292.0,0.0030472554630102014,7.444096378255926,20,44235.95,0.0
1755335098.841803,42899.0,114397.33333333333,498.8255813953488,535.052468452165,1292.0,0.029847930459415212,4.110511678171909,14,2963.4285714285716,0.0
1755335101.841803,1078068.0,2874848.0,933.3922077922078,545.1397956693296,1292.0,0.002271659452745778,4.607288798932327,36,29870.472222222223,0.0
1755335104.841803,30797.0,82125.33333333333,416.1756756756757,547.3967225338125,1489.1000000000001,0.03093541158388739,3.266379231310608,11,2605.181818181818,0.0
1755335107.841803,518126.0,1381669.3333333333,835.6870967741935,574.2376760046177,1292.0,0.0038622296106834595,6.452461173746401,21,24645.095238095237,0.0
1755335110.841803,8617.0,22978.666666666668,210.17073170731706,349.31898221895835,575.0,0.05598065257072449,1.5587476260299808,7,876.8571428571429,0.0
1755335113.841803,118275.0,315400.0,748.5759493670886,582.3073082090924,1292.0,0.014972331417593986,7.029323760330071,13,9077.76923076923,0.0
1755335116.841803,6601.0,17602.666666666668,134.71428571428572,280.47088684451177,76.20000000000002,0.05158683160940806,2.433502453863363,9,706.0,0.0
1755335119.841803,1954583.0,5212221.333333333,1105.533371040724,436.05677535134413,1292.0,0.0013587650229988897,23.23467306997756,10,195431.7,0.0
1755335125.841803,66.0,176.0,66.0,0.0,66.0,0.0,0.0,0,0.0,0.0
1755335128.841803,58115.0,154973.33333333334,450.50387596899225,519.9971992177258,1292.0,0.012323126196861267,3.054026585240071,16,3596.4375,0.0
1755335131.841803,1794111.0,4784296.0,1099.3327205882354,442.2507719630483,1292.0,0.0015379821208998297,12.233973209402732,23,77873.86956521739,0.0
1755335134.841803,785836.0,2095562.6666666667,1111.5077793493635,430.32424324479547,1292.0,0.0018444888652552965,16.774586980162184,6,130947.66666666667,0.0
1755335137.841803,310831.0,828882.6666666666,1130.2945454545454,410.9155681549023,1292.0,0.0003382881192395287,4.573596125733775,2,155377.5,0.0
1755335140.841803,436744.0,1164650.6666666667,1097.3467336683418,444.8620873492007,1292.0,0.004642307007643077,10.90793160398094,5,87348.8,0.0
1755335143.841803,18097.0,48258.666666666664,282.765625,462.0888287909148,1337.6000000000013,0.04080191869584341,3.102602827043538,9,1987.7777777777778,0.0
1755335149.841803,121.0,322.6666666666667,60.5,5.5,64.9,0.34029579162597656,0.0,0,0.0,0.0
1755335152.841803,10314.0,27504.0,412.56,514.7775504040557,1292.0,0.07352908452351888,2.5915824902512674,4,2387.25,0.0
1755335155.841803,1453676.0,3876469.3333333335,962.0622104566512,536.75644622369,1292.0,0.001865557487437267,5.983839488419781,39,37246.230769230766,0.0
1755335158.841803,1056841.0,2818242.6666666665,1054.7315369261478,476.6090854597168,1292.0,0.0029092108929431163,11.780423222369029,27,39018.77777777778,0.0
1755335161.841803,186585.0,497560.0,982.0263157894736,529.4813493480948,1292.0,0.01485155499170697,5.007619538823419,8,23236.125,0.0
1755335164.841803,1005960.0,2682560.0,958.9704480457578,532.400844999191,1292.0,0.0013129874950146858,5.903104342975115,22,45592.954545454544,0.0
1755335167.841803,1708861.0,4556962.666666667,1122.7733245729303,418.84796070873625,1292.0,0.0009513326101911295,8.565900384305532,18,94641.66666666667,0.0
1755335170.841803,1271822.0,3391525.3333333335,932.4208211143695,546.0882208066062,1292.0,0.0020260564212141365,5.3434730777447905,43,29182.6511627907,0.0
1755335173.841803,4100395.0,10934386.666666666,1020.5064708810354,501.8912386300225,1292.0,0.0006541302467063199,10.729301434807336,19,215307.68421052632,0.0
1755335176.841803,1659098.0,4424261.333333333,1095.114191419142,445.89369394537727,1292.0,0.0019027385245541128,17.945702645636405,9,184253.33333333334,0.0
1755335179.841803,747618.0,1993648.0,1096.2140762463343,443.6011271812364,1292.0,0.0021484818927692073,10.556598009873404,6,124561.0,0.0
1755335182.841803,127510.0,340026.6666666667,973.3587786259542,524.9369437770785,1292.0,0.018541161830608662,6.8244149989153495,7,18185.285714285714,0.0
1755335185.841803,3844.0,10250.666666666666,226.11764705882354,406.8789214832895,656.2000000000004,0.15183775126934052,2.188456943284707,4,911.5,0.0
1755335188.841803,3952.0,10538.666666666666,263.46666666666664,384.1016994957918,875.1999999999998,0.09591541971479144,1.7808119613648319,2,1675.0,0.0
1755335191.841803,198.0,528.0,66.0,0.0,66.0,0.506805419921875,1.0,1,132.0,0.0
1755335194.841803,1530.0,4080.0,170.0,257.2296855168764,289.40000000000015,0.25009235739707947,2.0593641056924996,1,353.0,0.0
1755335197.841803,1094270.0,2918053.3333333335,994.790909090909,513.9792407455337,1292.0,0.002105771681739592,11.187046189326582,26,42030.07692307692,0.0
1755335200.841803,644481.0,1718616.0,1083.1613445378152,455.04264554221476,1292.0,0.0032290336660263114,9.492740863970068,10,64326.7,0.0
1755335203.841803,66.0,176.0,66.0,0.0,66.0,0.0,0.0,0,0.0,0.0
1755335206.841803,66.0,176.0,66.0,0.0,66.0,0.0,0.0,0,0.0,0.0
